time_s,hr_bpm,scenario
0.0,72.0,steady
0.5,72.1,steady
1.0,72.0,steady
1.5,72.2,steady
2.0,71.9,steady
2.5,72.1,steady
3.0,72.3,steady
3.5,72.0,steady
4.0,72.1,steady
4.5,71.8,steady
5.0,72.2,steady
5.5,72.0,steady
6.0,71.9,steady
6.5,72.1,steady
7.0,72.0,steady
7.5,0,steady
8.0,0,steady
8.5,0,steady
9.0,0,steady
9.5,71.9,steady
10.0,72.0,steady
10.5,71.8,steady
11.0,72.1,steady
11.5,71.9,steady
12.0,72.0,steady
12.5,90.0,spiked
13.0,72.0,spiked
13.5,72.0,spiked
14.0,71.0,spiked
14.5,90.0,spiked
15.0,98.0,spiked
15.5,110.2,spiked
16.0,120.0,spiked
16.5,1300.8,spiked
17.0,129.6,spiked
17.5,128.3,spiked
18.0,127.1,spiked
18.5,125.8,spiked
19.0,124.5,spiked
19.5,123.3,spiked
20.0,122.0,spiked
20.5,120.8,spiked
21.0,119.6,spiked
21.5,118.4,spiked
22.0,117.1,spiked
22.5,115.9,spiked
23.0,114.7,spiked
23.5,113.5,spiked
24.0,112.2,spiked
24.5,111.0,spiked
25.0,109.8,spiked
25.5,108.6,spiked
26.0,107.4,spiked
26.5,106.2,spiked
27.0,105.0,spiked
27.5,103.8,spiked
28.0,102.6,spiked
28.5,101.4,spiked
29.0,100.2,spiked
29.5,99.0,spiked
30.0,97.8,spiked
30.5,96.6,spiked
31.0,95.4,spiked
31.5,94.2,spiked
32.0,93.0,spiked
32.5,91.8,spiked
33.0,90.6,spiked
33.5,89.4,spiked
34.0,88.2,spiked
34.5,87.0,spiked
35.0,86.0,spiked
35.5,85.4,drowsy
36.0,84.6,drowsy
36.5,83.8,drowsy
37.0,83.8,drowsy
37.5,83.1,drowsy
38.0,83.1,drowsy
38.5,82.2,drowsy
39.0,81.4,drowsy
39.5,81.5,drowsy
40.0,80.7,drowsy
40.5,80.7,drowsy
41.0,79.9,drowsy
41.5,79.1,drowsy
42.0,79.1,drowsy
42.5,78.4,drowsy
43.0,78.4,drowsy
43.5,77.5,drowsy
44.0,76.7,drowsy
44.5,76.8,drowsy
45.0,76.0,drowsy
45.5,76.0,drowsy
46.0,75.2,drowsy
46.5,74.4,drowsy
47.0,74.4,drowsy
47.5,73.7,drowsy
48.0,73.7,drowsy
48.5,72.8,drowsy
49.0,72.0,drowsy
49.5,72.1,drowsy
50.0,71.3,drowsy
50.5,71.3,drowsy
51.0,70.5,drowsy
51.5,69.7,drowsy
52.0,69.7,drowsy
52.5,69.0,drowsy
53.0,69.0,drowsy
53.5,68.1,drowsy
54.0,67.3,drowsy
54.5,67.4,drowsy
55.0,66.6,drowsy
55.5,66.6,drowsy
56.0,65.8,drowsy
56.5,65.0,drowsy
57.0,65.0,drowsy
57.5,64.3,drowsy
58.0,64.3,drowsy
58.5,63.4,drowsy
59.0,62.6,drowsy
59.5,62.7,drowsy
60.0,61.9,drowsy
