time_s	hr_bpm	scenario	instant_roc_bpm_per_s	window_roc_bpm_per_s
--------------------------------------------------------------------------
0.0	72.0	steady	0.000	0.000
0.5	72.1	steady	0.200	0.200
1.0	72.0	steady	-0.200	0.000
1.5	72.2	steady	0.400	0.117
2.0	71.9	steady	-0.600	-0.025
2.5	72.1	steady	0.400	0.000
3.0	72.3	steady	0.400	0.067
3.5	72.0	steady	-0.600	0.020
4.0	72.1	steady	0.200	0.012
4.5	71.8	steady	-0.600	0.000
5.0	72.2	steady	0.800	0.000
5.5	72.0	steady	-0.400	0.000
6.0	71.9	steady	-0.200	-0.040
6.5	72.1	steady	0.400	0.000
7.0	72.0	steady	-0.200	-0.033
7.5	0.0	steady	0.000	0.000
8.0	0.0	steady	0.000	0.000
8.5	0.0	steady	0.000	0.000
9.0	0.0	steady	0.000	0.000
9.5	71.9	steady	-0.200	-0.100
10.0	72.0	steady	0.200	0.000
10.5	71.8	steady	-0.400	-0.067
11.0	72.1	steady	0.600	-0.067
11.5	71.9	steady	-0.400	0.000
12.0	72.0	steady	0.200	0.040
12.5	90.0	spiked	36.000	0.133
13.0	72.0	spiked	-36.000	0.073
13.5	72.0	spiked	0.000	0.034
14.0	71.0	spiked	-2.000	0.000
14.5	90.0	spiked	38.000	0.000
15.0	98.0	spiked	16.000	0.133
15.5	110.2	spiked	24.400	6.475
16.0	120.0	spiked	19.600	10.689
16.5	1300.8	spiked	2361.600	17.333
17.0	129.6	spiked	-2342.400	16.457
17.5	128.3	spiked	-2.600	16.371
18.0	127.1	spiked	-2.400	16.000
18.5	125.8	spiked	-2.600	12.178
19.0	124.5	spiked	-2.600	6.760
19.5	123.3	spiked	-2.400	1.500
20.0	122.0	spiked	-2.600	-2.500
20.5	120.8	spiked	-2.400	-2.520
21.0	119.6	spiked	-2.400	-2.520
21.5	118.4	spiked	-2.400	-2.500
22.0	117.1	spiked	-2.600	-2.486
22.5	115.9	spiked	-2.400	-2.475
23.0	114.7	spiked	-2.400	-2.467
23.5	113.5	spiked	-2.400	-2.450
24.0	112.2	spiked	-2.600	-2.450
24.5	111.0	spiked	-2.400	-2.450
25.0	109.8	spiked	-2.400	-2.450
25.5	108.6	spiked	-2.400	-2.450
26.0	107.4	spiked	-2.400	-2.440
26.5	106.2	spiked	-2.400	-2.425
27.0	105.0	spiked	-2.400	-2.400
27.5	103.8	spiked	-2.400	-2.400
28.0	102.6	spiked	-2.400	-2.400
28.5	101.4	spiked	-2.400	-2.400
29.0	100.2	spiked	-2.400	-2.400
29.5	99.0	spiked	-2.400	-2.400
30.0	97.8	spiked	-2.400	-2.400
30.5	96.6	spiked	-2.400	-2.400
31.0	95.4	spiked	-2.400	-2.400
31.5	94.2	spiked	-2.400	-2.400
32.0	93.0	spiked	-2.400	-2.400
32.5	91.8	spiked	-2.400	-2.400
33.0	90.6	spiked	-2.400	-2.400
33.5	89.4	spiked	-2.400	-2.400
34.0	88.2	spiked	-2.400	-2.400
34.5	87.0	spiked	-2.400	-2.400
35.0	86.0	spiked	-2.000	-2.400
35.5	85.4	drowsy	-1.200	-2.400
36.0	84.6	drowsy	-1.600	-2.333
36.5	83.8	drowsy	-1.600	-2.100
37.0	83.8	drowsy	0.000	-1.920
37.5	83.1	drowsy	-1.400	-1.600
38.0	83.1	drowsy	0.000	-1.457
38.5	82.2	drowsy	-1.800	-1.200
39.0	81.4	drowsy	-1.600	-1.143
39.5	81.5	drowsy	0.200	-1.067
40.0	80.7	drowsy	-1.600	-0.975
40.5	80.7	drowsy	0.000	-0.886
41.0	79.9	drowsy	-1.600	-0.900
41.5	79.1	drowsy	-1.600	-1.000
42.0	79.1	drowsy	0.000	-0.960
42.5	78.4	drowsy	-1.400	-1.000
43.0	78.4	drowsy	0.000	-0.886
43.5	77.5	drowsy	-1.800	-0.900
44.0	76.7	drowsy	-1.600	-1.000
44.5	76.8	drowsy	0.200	-0.920
45.0	76.0	drowsy	-1.600	-0.975
45.5	76.0	drowsy	0.000	-0.886
46.0	75.2	drowsy	-1.600	-0.900
46.5	74.4	drowsy	-1.600	-1.000
47.0	74.4	drowsy	0.000	-0.960
47.5	73.7	drowsy	-1.400	-1.000
48.0	73.7	drowsy	0.000	-0.886
48.5	72.8	drowsy	-1.800	-0.900
49.0	72.0	drowsy	-1.600	-1.000
49.5	72.1	drowsy	0.200	-0.920
50.0	71.3	drowsy	-1.600	-0.975
50.5	71.3	drowsy	0.000	-0.886
51.0	70.5	drowsy	-1.600	-0.900
51.5	69.7	drowsy	-1.600	-1.000
52.0	69.7	drowsy	0.000	-0.960
52.5	69.0	drowsy	-1.400	-1.000
53.0	69.0	drowsy	0.000	-0.886
53.5	68.1	drowsy	-1.800	-0.900
54.0	67.3	drowsy	-1.600	-1.000
54.5	67.4	drowsy	0.200	-0.920
55.0	66.6	drowsy	-1.600	-0.975
55.5	66.6	drowsy	0.000	-0.886
56.0	65.8	drowsy	-1.600	-0.900
56.5	65.0	drowsy	-1.600	-1.000
57.0	65.0	drowsy	0.000	-0.960
57.5	64.3	drowsy	-1.400	-1.000
58.0	64.3	drowsy	0.000	-0.886
58.5	63.4	drowsy	-1.800	-0.900
59.0	62.6	drowsy	-1.600	-1.000
59.5	62.7	drowsy	0.200	-0.920
60.0	61.9	drowsy	-1.600	-0.975
