Idx	EyeConf	HR_ROC	Accel_g	Score	Alert
--------------------------------------------------------------
   0	0.0	0.00	1.00	0.000	no
   1	0.0	0.00	1.20	0.000	no
   2	0.0	0.00	1.40	0.040	no
   3	0.0	0.00	1.60	0.120	no
   4	0.0	0.00	1.80	0.200	YES
   5	0.0	0.00	2.00	0.200	YES
   6	0.0	0.00	2.20	0.200	YES
   7	0.0	0.00	2.40	0.200	YES
   8	0.0	0.50	1.00	0.000	no
   9	0.0	0.50	1.20	0.000	no
  10	0.0	0.50	1.40	0.040	no
  11	0.0	0.50	1.60	0.120	no
  12	0.0	0.50	1.80	0.200	YES
  13	0.0	0.50	2.00	0.200	YES
  14	0.0	0.50	2.20	0.200	YES
  15	0.0	0.50	2.40	0.200	YES
  16	0.0	1.00	1.00	0.000	no
  17	0.0	1.00	1.20	0.000	no
  18	0.0	1.00	1.40	0.040	no
  19	0.0	1.00	1.60	0.120	no
  20	0.0	1.00	1.80	0.200	YES
  21	0.0	1.00	2.00	0.200	YES
  22	0.0	1.00	2.20	0.200	YES
  23	0.0	1.00	2.40	0.200	YES
  24	0.0	1.50	1.00	0.033	no
  25	0.0	1.50	1.20	0.033	no
  26	0.0	1.50	1.40	0.073	no
  27	0.0	1.50	1.60	0.153	no
  28	0.0	1.50	1.80	0.233	YES
  29	0.0	1.50	2.00	0.233	YES
  30	0.0	1.50	2.20	0.233	YES
  31	0.0	1.50	2.40	0.233	YES
  32	0.0	2.00	1.00	0.067	no
  33	0.0	2.00	1.20	0.067	no
  34	0.0	2.00	1.40	0.107	no
  35	0.0	2.00	1.60	0.187	no
  36	0.0	2.00	1.80	0.267	YES
  37	0.0	2.00	2.00	0.267	YES
  38	0.0	2.00	2.20	0.267	YES
  39	0.0	2.00	2.40	0.267	YES
  40	0.0	2.50	1.00	0.100	no
  41	0.0	2.50	1.20	0.100	no
  42	0.0	2.50	1.40	0.140	no
  43	0.0	2.50	1.60	0.220	YES
  44	0.0	2.50	1.80	0.300	YES
  45	0.0	2.50	2.00	0.300	YES
  46	0.0	2.50	2.20	0.300	YES
  47	0.0	2.50	2.40	0.300	YES
  48	0.0	3.00	1.00	0.133	no
  49	0.0	3.00	1.20	0.133	no
  50	0.0	3.00	1.40	0.173	no
  51	0.0	3.00	1.60	0.253	YES
  52	0.0	3.00	1.80	0.333	YES
  53	0.0	3.00	2.00	0.333	YES
  54	0.0	3.00	2.20	0.333	YES
  55	0.0	3.00	2.40	0.333	YES
  56	0.0	3.50	1.00	0.167	no
  57	0.0	3.50	1.20	0.167	no
  58	0.0	3.50	1.40	0.207	YES
  59	0.0	3.50	1.60	0.287	YES
  60	0.0	3.50	1.80	0.367	YES
  61	0.0	3.50	2.00	0.367	YES
  62	0.0	3.50	2.20	0.367	YES
  63	0.0	3.50	2.40	0.367	YES
  64	0.0	4.00	1.00	0.200	YES
  65	0.0	4.00	1.20	0.200	YES
  66	0.0	4.00	1.40	0.240	YES
  67	0.0	4.00	1.60	0.320	YES
  68	0.0	4.00	1.80	0.400	YES
  69	0.0	4.00	2.00	0.400	YES
  70	0.0	4.00	2.20	0.400	YES
  71	0.0	4.00	2.40	0.400	YES
  72	0.0	4.50	1.00	0.200	YES
  73	0.0	4.50	1.20	0.200	YES
  74	0.0	4.50	1.40	0.240	YES
  75	0.0	4.50	1.60	0.320	YES
  76	0.0	4.50	1.80	0.400	YES
  77	0.0	4.50	2.00	0.400	YES
  78	0.0	4.50	2.20	0.400	YES
  79	0.0	4.50	2.40	0.400	YES
  80	0.0	5.00	1.00	0.200	YES
  81	0.0	5.00	1.20	0.200	YES
  82	0.0	5.00	1.40	0.240	YES
  83	0.0	5.00	1.60	0.320	YES
  84	0.0	5.00	1.80	0.400	YES
  85	0.0	5.00	2.00	0.400	YES
  86	0.0	5.00	2.20	0.400	YES
  87	0.0	5.00	2.40	0.400	YES
  88	0.0	5.50	1.00	0.200	YES
  89	0.0	5.50	1.20	0.200	YES
  90	0.0	5.50	1.40	0.240	YES
  91	0.0	5.50	1.60	0.320	YES
  92	0.0	5.50	1.80	0.400	YES
  93	0.0	5.50	2.00	0.400	YES
  94	0.0	5.50	2.20	0.400	YES
  95	0.0	5.50	2.40	0.400	YES
  96	0.0	6.00	1.00	0.200	YES
  97	0.0	6.00	1.20	0.200	YES
  98	0.0	6.00	1.40	0.240	YES
  99	0.0	6.00	1.60	0.320	YES
 100	0.0	6.00	1.80	0.400	YES
 101	0.0	6.00	2.00	0.400	YES
 102	0.0	6.00	2.20	0.400	YES
 103	0.0	6.00	2.40	0.400	YES
 104	0.0	6.50	1.00	0.200	YES
 105	0.0	6.50	1.20	0.200	YES
 106	0.0	6.50	1.40	0.240	YES
 107	0.0	6.50	1.60	0.320	YES
 108	0.0	6.50	1.80	0.400	YES
 109	0.0	6.50	2.00	0.400	YES
 110	0.0	6.50	2.20	0.400	YES
 111	0.0	6.50	2.40	0.400	YES
 112	0.0	7.00	1.00	0.200	YES
 113	0.0	7.00	1.20	0.200	YES
 114	0.0	7.00	1.40	0.240	YES
 115	0.0	7.00	1.60	0.320	YES
 116	0.0	7.00	1.80	0.400	YES
 117	0.0	7.00	2.00	0.400	YES
 118	0.0	7.00	2.20	0.400	YES
 119	0.0	7.00	2.40	0.400	YES
 120	0.0	7.50	1.00	0.200	YES
 121	0.0	7.50	1.20	0.200	YES
 122	0.0	7.50	1.40	0.240	YES
 123	0.0	7.50	1.60	0.320	YES
 124	0.0	7.50	1.80	0.400	YES
 125	0.0	7.50	2.00	0.400	YES
 126	0.0	7.50	2.20	0.400	YES
 127	0.0	7.50	2.40	0.400	YES
 128	0.0	8.00	1.00	0.200	YES
 129	0.0	8.00	1.20	0.200	YES
 130	0.0	8.00	1.40	0.240	YES
 131	0.0	8.00	1.60	0.320	YES
 132	0.0	8.00	1.80	0.400	YES
 133	0.0	8.00	2.00	0.400	YES
 134	0.0	8.00	2.20	0.400	YES
 135	0.0	8.00	2.40	0.400	YES
 136	20.0	0.00	1.00	0.000	no
 137	20.0	0.00	1.20	0.000	no
 138	20.0	0.00	1.40	0.040	no
 139	20.0	0.00	1.60	0.120	no
 140	20.0	0.00	1.80	0.200	YES
 141	20.0	0.00	2.00	0.200	YES
 142	20.0	0.00	2.20	0.200	YES
 143	20.0	0.00	2.40	0.200	YES
 144	20.0	0.50	1.00	0.000	no
 145	20.0	0.50	1.20	0.000	no
 146	20.0	0.50	1.40	0.040	no
 147	20.0	0.50	1.60	0.120	no
 148	20.0	0.50	1.80	0.200	YES
 149	20.0	0.50	2.00	0.200	YES
